,Unnamed: 0,beta,rr_sus_slat,rr_sus_rec,p_primary,r_clear,r_sc,r_react,r_relapse,r_relapse_td,r_relapse_tc,rt_cs,rr_inf_asym,rr_inf_cs,r_lat,r_stab,p_cs_pub,p_dx_pub,p_dx_pri,dur_succ,adr,r_act,cas,k_covid
0,0,8.272446822240969,0.2286025682932952,0.1756670021630801,0.0996243001252242,0.0360151295703384,0.2411246677763078,0.0008619442234072,0.0018177044652107,0.1482319947576166,0.0347636777108621,0.0834378519930523,1,1,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0,0.0553237388231823,Cascade(1.012 -> 2.945(45%) -> 2.861(45%)),<scipy.interpolate.interpolate.interp1d object at 0x000001A6A657B4F0>
1,1,4.402565381277848,0.6222722302617617,0.2914071327598906,0.1150477672206752,0.0242790510545323,0.1921824423209375,0.0014243022863527,0.0014918242085454,0.1406239246275155,0.0359477467662267,0.138704736098895,1,1,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0,0.0650022469909762,Cascade(1.038 -> 2.719(45%) -> 3.942(45%)),<scipy.interpolate.interpolate.interp1d object at 0x000001A6A657B4F0>
2,2,4.908049730681197,0.6683438648507565,0.2063937470827128,0.1088521284146712,0.0292346022604052,0.1904534005441986,0.0013167509388466,0.0014889466579507,0.1211895346701225,0.0346105076043014,0.1382477515684742,1,1,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0,0.0610741112027941,Cascade(1.026 -> 2.732(45%) -> 3.880(45%)),<scipy.interpolate.interpolate.interp1d object at 0x000001A6A657B4F0>
3,3,8.545404495150237,0.3856285738269864,0.2692109133038818,0.0944477495097673,0.0269938086581063,0.1688880863432266,0.0006875504458865,0.0013546405895087,0.1462122403101828,0.0287082341406141,0.0621573781205508,1,1,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0,0.0521492544790412,Cascade(0.991 -> 2.985(45%) -> 2.833(45%)),<scipy.interpolate.interpolate.interp1d object at 0x000001A6A657B4F0>
4,4,10.060762879189356,0.2285624056378761,0.2706438549794338,0.0980880236262127,0.027782057157122,0.1926070754415738,0.001119643569437,0.0015879674510526,0.1312357926274709,0.0378778360399375,0.0365518042402632,1,1,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0,0.0543778252178132,Cascade(1.058 -> 2.848(45%) -> 3.643(45%)),<scipy.interpolate.interpolate.interp1d object at 0x000001A6A657B4F0>
5,5,7.08791888563989,0.5083716384216099,0.2566481891281718,0.0987679962326265,0.039907674415137,0.2169783676828288,0.0006611629394242,0.0019127673745167,0.1507706440823457,0.0297551415513785,0.1032641578928765,1,1,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0,0.0547960990176512,Cascade(1.001 -> 2.933(45%) -> 3.146(45%)),<scipy.interpolate.interpolate.interp1d object at 0x000001A6A657B4F0>
6,6,5.605586117568683,0.6528215829501469,0.2511124184182521,0.1321338302011791,0.0205508171486386,0.1838515817185919,0.0005121536942719,0.0012771088820938,0.1666226934478109,0.0304450464583031,0.0508565809888628,1,1,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0,0.0761256947207707,Cascade(1.081 -> 2.724(45%) -> 3.302(45%)),<scipy.interpolate.interpolate.interp1d object at 0x000001A6A657B4F0>
7,7,4.694875380558056,0.2016423522268949,0.1766034641813689,0.133257830852964,0.0315827209494499,0.1834952279160181,0.0007578850091761,0.0017057952348093,0.1420256496336246,0.0353662220452529,0.1166358102004444,1,1,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0,0.0768728207744313,Cascade(1.072 -> 2.885(45%) -> 3.372(45%)),<scipy.interpolate.interpolate.interp1d object at 0x000001A6A657B4F0>
8,8,9.38638490784554,0.3553475146641652,0.1995070043522593,0.0944408236074541,0.0215009037237697,0.1986932108857451,0.0013425064441009,0.0011167006748463,0.1454227442343839,0.0287463337534781,0.0023409400264661,1,1,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0,0.0521450315282959,Cascade(1.001 -> 3.299(45%) -> 3.277(45%)),<scipy.interpolate.interpolate.interp1d object at 0x000001A6A657B4F0>
9,9,6.044345475014613,0.4381278393073999,0.1990449969049299,0.1173654542708969,0.0264282876388392,0.2030631753763573,0.0005625376002918,0.0011798023421504,0.15887502657348,0.028977613930161,0.1024561022936182,1,1,0.5,0.6666666666666666,0.483,0.65,0.27,0.5,0,0.0664858716661417,Cascade(1.064 -> 2.598(45%) -> 3.573(45%)),<scipy.interpolate.interpolate.interp1d object at 0x000001A6A657B4F0>
