State,Year,N_Tx_Ini_Pub,N_Tx_Succ_Pub,N_Tx_Die_Pub,N_Tx_Ini_Pri,N_Tx_Succ_Pri,N_Tx_Die_Pri
Andaman & Nicobar Islands,2018,579,522,18,26,0,0
Andhra Pradesh,2018,62841,56836,2732,15728,15209,134
Arunachal Pradesh,2018,3082,2203,55,15,0,0
Assam,2018,36532,27906,1393,3770,450,0
Bihar,2018,51052,36895,1073,45426,12654,777
Chandigarh,2018,3144,2768,107,228,12,2
Chhattisgarh,2018,31181,27724,1416,10658,5476,39
Dadra & Nagar Haveli,2018,735,689,15,70,65,1
Daman & Diu,2018,367,294,15,76,71,0
Delhi,2018,56862,40857,1005,6808,11,1
Goa,2018,1345,1176,40,398,0,0
Gujarat,2018,94412,77878,5704,39925,22818,336
Haryana,2018,34804,29358,1508,6757,3605,39
Himachal Pradesh,2018,13040,11652,537,849,479,12
Jammu & Kashmir,2018,7993,5507,191,1100,119,0
Jharkhand,2018,35376,27731,759,7880,1947,9
Karnataka,2018,60894,48827,3777,11991,4767,137
Kerala,2018,16948,14899,682,6470,4550,80
Lakshwadeep,2018,51,48,2,0,0,0
Madhya Pradesh,2018,114827,99814,3923,16964,10748,58
Maharashtra,2018,113444,91615,4993,68453,9079,73
Manipur,2018,1648,1143,41,1123,490,13
Meghalaya,2018,2946,2000,94,607,0,0
Mizoram,2018,2383,1567,49,62,0,0
Nagaland,2018,2332,1734,46,805,0,0
Odisha,2018,63342,38988,2449,3779,604,8
Puducherry,2018,1414,1206,78,10,10,0
Punjab,2018,35800,30980,1555,6029,1112,11
Rajasthan,2018,83866,70876,2944,23446,8825,85
Sikkim,2018,934,721,25,39,0,0
Tamil Nadu,2018,77158,63311,3677,20701,11409,87
Telangana,2018,36878,30885,1460,7766,7290,41
Tripura,2018,1951,1399,101,8,0,0
Uttar Pradesh,2018,219912,151321,7505,67461,4518,30
Uttarakhand,2018,13198,10114,454,3917,3428,4
West Bengal,2018,81291,67723,3761,12363,5654,116
India,2018,1364562,1079167,54184,391708,135400,2093
Andaman & Nicobar Islands,2019,503,443 (88%),12 (2%),20,18 (90%),0 (0%)
Andhra Pradesh,2019,64460,57629 (89%),3350 (5%),26220,24722 (94%),286 (1%)
Arunachal Pradesh,2019,2892,2360 (82%),59 (2%),8,4 (50%),0 (0%)
Assam,2019,37640,32201 (86%),1504 (4%),4036,2402 (60%),58 (1%)
Bihar,2019,65862,52921 (80%),1598 (2%),40327,25195 (62%),979 (2%)
Chandigarh,2019,3150,2772 (88%),90 (3%),72,56 (78%),4 (6%)
Chhattisgarh,2019,29923,26756 (89%),1309 (4%),10604,7122 (67%),94 (1%)
Dadra & Nagar Haveli,2019,506,472 (93%),18 (4%),54,53 (98%),0 (0%)
Daman & Diu,2019,355,287 (81%),11 (3%),37,36 (97%),0 (0%)
Delhi,2019,62678,48089 (77%),1174 (2%),9250,3474 (38%),193 (2%)
Goa,2019,1733,1379 (80%),70 (4%),507,191 (38%),1 (0%)
Gujarat,2019,101975,86082 (84%),5613 (6%),46720,35833 (77%),823 (2%)
Haryana,2019,48274,41172 (85%),2009 (4%),13709,9909 (72%),275 (2%)
Himachal Pradesh,2019,15482,13799 (89%),627 (4%),1113,917 (82%),34 (3%)
Jammu & Kashmir,2019,10975,9179 (84%),275 (3%),915,594 (65%),3 (0%)
Jharkhand,2019,38469,34251 (89%),1066 (3%),10200,6322 (62%),97 (1%)
Karnataka,2019,65306,52728 (81%),4408 (7%),13612,10248 (75%),460 (3%)
Kerala,2019,21239,18882 (89%),1057 (5%),3333,2794 (84%),106 (3%)
Lakshadweep,2019,19,18 (95%),0 (0%),0,0,0
Madhya Pradesh,2019,120273,105690 (88%),4096 (3%),32573,18475 (57%),220 (1%)
Maharashtra,2019,131388,107678 (82%),5961 (5%),59906,47895 (80%),1153 (2%)
Manipur,2019,2212,1766 (80%),62 (3%),650,515 (79%),10 (2%)
Meghalaya,2019,3972,3145 (79%),142 (4%),487,234 (48%),3 (1%)
Mizoram,2019,2526,2239 (89%),53 (2%),50,17 (34%),0 (0%)
Nagaland,2019,3574,3117 (87%),73 (2%),748,278 (37%),22 (3%)
Odisha,2019,45747,40598 (89%),2474 (5%),2560,2105 (82%),48 (2%)
Puducherry,2019,1521,1303 (86%),92 (6%),21,19 (90%),0 (0%)
Punjab,2019,42965,36646 (85%),1984 (5%),9252,6861 (74%),371 (4%)
Rajasthan,2019,109124,89525 (82%),3800 (3%),43423,27762 (64%),378 (1%)
Sikkim,2019,1313,1120 (85%),31 (2%),27,13 (48%),1 (4%)
Tamil Nadu,2019,74972,63882 (85%),3802 (5%),26129,21400 (82%),281 (1%)
Telangana,2019,41007,36905 (90%),1692 (4%),10311,9369 (91%),158 (2%)
Tripura,2019,2698,2356 (87%),127 (5%),4,3 (75%),0 (0%)
Uttar Pradesh,2019,307914,256485 (83%),11475 (4%),98398,64218 (65%),1949 (2%)
Uttarakhand,2019,16630,13982 (84%),649 (4%),3931,3544 (90%),41 (1%)
West Bengal,2019,87346,75441 (86%),4323 (5%),13687,9120 (67%),248 (2%)
India,2019,1566623,1323298 (84%),65086 (4%),482894,341718 (71%),8296 (2%)
Andaman & Nicobar Islands,2020,543,455 (84%),25 (4.6%),11,8 (73%),0 (0.0%)
Andhra Pradesh,2020,72585,64454 (89%),3216 (4.4%),23884,22437 (94%),369 (1.5%)
Arunachal Pradesh,2020,2818,2343 (83%),64 (2.3%),46,19 (41%),0 (0.0%)
Assam,2020,42145,35606 (84%),1662 (3.9%),5634,4270 (76%),178 (3.2%)
Bihar,2020,77375,58931 (76%),1881 (2.4%),45652,34941 (77%),1094 (2.4%)
Chandigarh,2020,3367,2792 (83%),112 (3.3%),87,58 (67%),2 (2.3%)
Chhattisgarh,2020,31941,27275 (85%),1417 (4.4%),10904,8890 (82%),186 (1.7%)
Dadra and Nagar Haveli and Daman and Diu,2020,827,754 (91%),23 (2.8%),157,152 (97%),2 (1.3%)
Delhi,2020,67938,51906 (76%),1261 (1.9%),25881,14460 (56%),850 (3.3%)
