Time,Scenario,Index,M,L,U,Country,mlu
2030,(A) Increased diagnostic uptake in healthcare settings,AvtInc,5.5%,4.7%,6.2%,IND,5.5% (4.7% - 6.2%)
2030,"(B) Increased diagnostic uptake, with PPM",AvtInc,9.1%,7.7%,10.3%,IND,9.1% (7.7% - 10.3%)
2030,"(C) Proactive case-finding, symptomatic TB",AvtInc,13.2%,11.3%,15.1%,IND,13.2% (11.3% - 15.1%)
2030,"(D) ACF, 10% of asymptomatic TB in vulnerable popn",AvtInc,1.3%,1.2%,1.5%,IND,1.3% (1.2% - 1.5%)
2030,All measures combined,AvtInc,17.0%,15.1%,18.8%,IND,17.0% (15.1% - 18.8%)
2030,(A) Increased diagnostic uptake in healthcare settings,AvtMor,10.4%,9.0%,11.7%,IND,10.4% (9.0% - 11.7%)
2030,"(B) Increased diagnostic uptake, with PPM",AvtMor,16.9%,14.6%,19.1%,IND,16.9% (14.6% - 19.1%)
2030,"(C) Proactive case-finding, symptomatic TB",AvtMor,24.2%,21.0%,27.5%,IND,24.2% (21.0% - 27.5%)
2030,"(D) ACF, 10% of asymptomatic TB in vulnerable popn",AvtMor,1.8%,1.7%,2.0%,IND,1.8% (1.7% - 2.0%)
2030,All measures combined,AvtMor,30.0%,27.0%,33.1%,IND,30.0% (27.0% - 33.1%)
2030,(A) Increased diagnostic uptake in healthcare settings,AvtInc,7.5%,5.3%,10.6%,ZAF,7.5% (5.3% - 10.6%)
2030,"(C) Proactive case-finding, symptomatic TB",AvtInc,9.6%,7.1%,13.1%,ZAF,9.6% (7.1% - 13.1%)
2030,"(D) ACF, 10% of asymptomatic TB in vulnerable popn",AvtInc,1.3%,0.7%,1.6%,ZAF,1.3% (0.7% - 1.6%)
2030,All measures combined,AvtInc,16.5%,13.1%,21.1%,ZAF,16.5% (13.1% - 21.1%)
2030,(A) Increased diagnostic uptake in healthcare settings,AvtMor,14.7%,11.5%,18.2%,ZAF,14.7% (11.5% - 18.2%)
2030,"(C) Proactive case-finding, symptomatic TB",AvtMor,18.6%,14.1%,22.7%,ZAF,18.6% (14.1% - 22.7%)
2030,"(D) ACF, 10% of asymptomatic TB in vulnerable popn",AvtMor,1.6%,1.0%,2.2%,ZAF,1.6% (1.0% - 2.2%)
2030,All measures combined,AvtMor,29.9%,24.8%,34.4%,ZAF,29.9% (24.8% - 34.4%)
